"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"Yes","Yes",,"3397999","BROOKLYN            ","342",,"13","47","Not Available","In Compliance ","1","66755","Not Available","79.3","40.572759","-73.997628","41.55","Seagate-Coney Island                                                       ","3070490051","Multifamily Housing","2557964","3828548","66755","ABS",,"Not Available","SURF AVENUE         ","3121","Not Available","Not Available","Not Available","11224"
"Yes","Yes",,,"QUEENS",,,,,"577.2","In Compliance ","1","137300","58","140",,,"Not Available",,"4049950064","Multifamily Housing","2640541","4113043","129650","None","96.8","128.9","  35 AVENUE         ","   144-45","717.1","96.8","128.9","11354"
"No","Yes",,"1001023","MANHATTAN","7",,"1","1","0","In Compliance ","1","173159","51","1593.1","40.707725","-74.011632","Not Available","Battery Park City-Lower Manhattan                                          ","1000460001","Office","2558651","1001023","192500","None","107.6","261.8","WALL STREET         ","2","1593.1","103.8","256.6","10005"
"No","Yes",,"1014445","MANHATTAN","109",,"5","3","1462.3","In Compliance ","1","842295","78","4240.5","40.752808","-73.98932","Not Available","Midtown-Midtown South                                                      ","1007860051","Office","2558870","1014445","936037","None","75.4","192.5","   7 AVENUE         ","498","5702.8","72.3","189.4","10018"
"Yes","Yes",,"2015073","BRONX               ","257",,"7","14","359.6","In Compliance ","1","90650","57","105.4","40.860663","-73.913243","Not Available","University Heights-Morris Heights                                          ","2032330070","Multifamily Housing","2558902","2015073","90650","None","88.7","122.4","CEDAR AVENUE        ","2175","465","84.2","117.8","10468"
"Yes","Yes",,"2090377","BRONX               ","257",,"7","14","418.7","In Compliance ","1","70400","26","80.1","40.860342","-73.913674","Not Available","University Heights-Morris Heights                                          ","2032330082","Multifamily Housing","2558903","2090377","70400","None","111.8","144.7","CEDAR AVENUE        ","2121","498.8","109.2","141.8","10468"
"Yes","Yes",,"2086829","BRONX               ","257",,"7","14","226.5","In Compliance ","1","70400","78","74.6","40.860224","-73.913829","Not Available","University Heights-Morris Heights                                          ","2032330090","Multifamily Housing","2558912","2086829","70400","None","70.3","100.2","CEDAR AVENUE        ","2101","301.1","Not Available","Not Available","10468"
"No","Yes",,"2015048","BRONX               ","247",,"5","14","778.1","In Compliance ","1","202600","97","57.5","40.856718","-73.916187","Not Available","University Heights-Morris Heights                                          ","2032300016","Multifamily Housing","2558922","2015048","185000","None","77.7","88.9","SEDGWICK AVENUE     ","1981","835.6","75.2","86.2","10453"
"No","Yes",,"2098788","BRONX               ","189",,"4","8","1036.3","In Compliance ","2","196432","80","142.3","40.831025","-73.92925","Not Available","Highbridge                                                                 ","2025110022","Multifamily Housing","2558930","2098788","196432","None","79.3","98.8","WOODYCREST AVENUE   ","939","1178.6","74.8","94.3","10452"
"No","Yes",,"2002706","BRONX               ","18302",,"4","16","351.4","In Compliance ","1","69144","37","101.8","40.827797","-73.920358","Not Available","East Concourse-Concourse Village                                           ","2024540019","Multifamily Housing","2558942","2002706","67144","None","113.2","156.7","SHERIDAN AVENUE     ","930","453.2","113.2","156.7","10451"
"No","Yes",,"2014757","BRONX               ","263",,"7","14","271.9","In Compliance ","1","82200","70","116.6","40.863664","-73.907437","Not Available","Kingsbridge Heights                                                        ","2032190055","Multifamily Housing","2558974","2014757","79000","None","82.6","123.9","WEBB AVENUE         ","2400","388.5","76.9","117.6","10468"
"Yes","Yes",,,"QUEENS",,,,,"0","In Compliance ","6","242770","100","75.1",,,"Not Available",,"4157800100","Multifamily Housing","2558998","4436113;4440807;4436112;4440804;4440806;4440805","220201","None","4.1","12.9","SEAGIRT BOULEVARD   ","    20-28","75.1","Not Available","Not Available","11691"
"Yes","Yes",,,"QUEENS",,,,,"Not Available","In Compliance ","13","473690","Not Available","66.8",,,"Not Available",,"4157800020","Multifamily Housing","2559037","4440246;44440247;4440248;4440249;4440250;4440251;4440253","250648","None",,"Not Available","SEAGIRT BOULEVARD   ","    20-20","Not Available","Not Available","Not Available","11691"
"Yes","Yes",,,"QUEENS",,,,,"Not Available","In Compliance ","3","322584","Not Available","53.8",,,"Not Available",,"4158150220","Multifamily Housing","2559043","4436085;4436086","215056","None",,"Not Available","SEAGIRT BOULEVARD   ","    20-55","Not Available","Not Available","Not Available","11691"
"No","Yes",,,"QUEENS",,,,,"248.1","In Compliance ","1","136220","78","287.2",,,"Not Available",,"4000307501","Multifamily Housing","2564600","4536962","155680","None","52.3","101.4","  48 AVENUE         ","     5-09","535.3","50.4","98.6","11101"
"Yes","Yes",,,"QUEENS",,,,,"Not Available","In Compliance ","4","143441","Not Available","38",,,"Not Available",,"4158100071","Multifamily Housing","2559046","4440813","143441","None",,"Not Available","SEAGIRT BOULEVARD   ","    20-33","Not Available","Not Available","Not Available","11691"
"Yes","Yes",,,"QUEENS",,,,,"Not Available","In Compliance ","6","252700","Not Available","53.3",,,"Not Available",,"4158100001","Multifamily Housing","2559047","4436092;4440811;44408010;4436091;4436092;4440808;4440809","215700","None",,"Not Available","SEAGIRT BOULEVARD   ","    20-21","Not Available","Not Available","Not Available","11691"
"No","Yes",,,"QUEENS",,,,,"61.3","In Compliance ","11","145900","Not Available","17.7",,,"Not Available",,"4076580002","Multifamily Housing","2640544","4453991","12150","None","112.6","154.9","  65 AVENUE         ","   223-01","79","110.1","152.3","11364"
"Yes","Yes",,"4534406","QUEENS","99802",,"14","31","32.9","In Compliance ","1","94032","Not Available","Not Available","40.59413","-73.757786","Not Available","Far Rockaway-Bayswater                                                     ","4158150071","Multifamily Housing","2559051","4534406","94032","None",,"Not Available","BEACH   24 STREET   ","162","Not Available","Not Available","Not Available","11691"
"No","Yes",,"1026769","MANHATTAN","133",,"4","3","264.6","In Compliance ","1","80154","65","123.9","40.766197","-73.987636","70.06","Clinton                                                                    ","1010630035","Multifamily Housing","2559260","1026769","80154","Manual","80.8","123.8","WEST   54 STREET    ","404","388.5","78.4","121.3","10019"
"Yes","Yes",,"2028701","BRONX               ","218",,"9","18","337.2","In Compliance ","1","104500","98","93.9","40.839554","-73.867366","Not Available","West Farms-Bronx River                                                     ","2039240007","Multifamily Housing","2559283","2028701","105000","None","71.2","97.3","BEACH AVENUE        ","1574","431.1","71.2","97.3","10460"
"Yes","Yes",,"2097203","BRONX               ","19",,"1","17","134.8","In Compliance ","1","235000","92","57.1","40.805482","-73.908117","0.8","Mott Haven-Port Morris                                                     ","2025990146","Non-Refrigerated Warehouse","2559288","2804750","235584","ABS","13.7","20.5","EAST  141 STREET    ","825","191.8","12.7","19.4","10454"
"No","Yes",,"1086068","MANHATTAN","94",,"5","4","0","In Compliance ","1","356057","49","2680.5","40.755024","-73.978318","Not Available","Midtown-Midtown South                                                      ","1012817501","Office","2559536","1086068","345360","None","98.5","261.5","MADISON AVENUE      ","360","2680.5","96","258.4","10017"
"No","Yes",,"1020418","MANHATTAN","48",,"6","2","2743.9","In Compliance ","1","115838","58","12621","40.73279","-73.983568","Not Available","Gramercy                                                                   ","1009220002","Hospital (General Medical & Surgical)","2560258","1081661;1020418;1020428","927982","None","236.2","463.8","N D PERLMAN PLACE   ","1","15364.9","229.9","457.4","10003"
"Yes","Yes",,,"QUEENS",,,,,"6.1","In Compliance ","1","357760","31","2207.7",,,"31.62",,"4020790001","Office","2686757","4050410","265877","ABS","100.6","314.8","QUEENS BOULEVARD    ","    95-25","2213.8","97.9","306.4","11374"
"No","Yes",,"1016286","MANHATTAN","56",,"5","2","509.5","In Compliance ","1","168200","63","843.2","40.739627","-73.986785","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008510035","Office","2560548","1016286","184600","None","91.8","210","PARK AVENUE SOUTH   ","286","1352.7","89.8","208.7","10010"
"No","Yes",,"1010421","MANHATTAN","69",,"2","3","1050.2","In Compliance ","1","553000","65","1910.5","40.73273","-74.008129","Not Available","West Village                                                               ","1006040033","Multifamily Housing","2560562","1010421","647567","None","64.2","141.6","CHRISTOPHER STREET  ","154","2960.7","61.6","138.1","10014"
"No","Yes",,,"QUEENS",,,,,"17.4","In Compliance ","1","54810","100","51.3",,,"Not Available",,"4098030009","Multifamily Housing","4046129","4209732","58810","None","14.4","37"," 169 STREET         ","    89-21","68.7","14.2","36.4","11432"
"No","Yes",,"1084803","MANHATTAN","79",,"2","3","397","In Compliance ","1","123646","37","279.3","40.738135","-74.008379","Not Available","West Village                                                               ","1006410017","Multifamily Housing","2560563","1084803","123646","None","87.7","149","JANE STREET         ","100","676.3","84.6","145.7","10014"
"No","Yes",,,"MANHATTAN","79",,"2","3","311.9","In Compliance ","1","85030","91","96.5","40.738736","-74.009061","Not Available","West Village                                                               ","1006420004","Multifamily Housing","2560572","1012126","111280","None","63.2","88.2","HORATIO STREET      ","114","408.3","60.9","85.8","10014"
"Yes","Yes",,"1075636","MANHATTAN","133",,"4","3","858.3","In Compliance ","1","166518","26","422.1","40.765623","-73.988213","Not Available","Clinton                                                                    ","1010620019","Multifamily Housing","2560610","1075636","166518","None","99.7","165.9","WEST   53 STREET    ","410","1280.4","96.8","162.7","10019"
"Yes","Yes",,"1085486","MANHATTAN","31703",,"1","1","1115.5","In Compliance ","1","357000","Not Available","728.2","40.718073","-74.014855","Not Available","Battery Park City-Lower Manhattan                                          ","1000160210","Multifamily Housing","2560615","1085486","357975","None","77.5","132.1","CHAMBERS STREET     ","399","1843.7","71","125.1","10282"
"No","Yes",,,"QUEENS",,,,,"1626.8","In Compliance ","1","466002","28","1662.1",,,"Not Available",,"4000210060","Multifamily Housing","2560626","4534604","504682","None","97.8","185.4","CENTER BOULEVARD    ","    47-05","3289","93.1","180.2","11109"
"Yes","Yes",,"1001163","MANHATTAN","1502",,"1","1","1046.6","In Compliance ","1","541000","30","1654.8","40.707218","-74.005316","Not Available","Battery Park City-Lower Manhattan                                          ","1000750001","Multifamily Housing","2560647","1001163","541000","None","73.3","154","JOHN STREET         ","127","2701.3","71.3","150.9","10038"
"No","Yes",,"2098317","BRONX               ","145",,"3","16","383.7","In Compliance ","1","144730","65","234.7","40.829837","-73.906407","0","Claremont-Bathgate                                                         ","2023720041","Multifamily Housing","2561008","2098317","144730","Manual","69.5","113.8","   3 AVENUE         ","3463","618.4","66","109.4","10456"
"No","Yes",,,"BROOKLYN            ","342",,"13","47","282.8","In Compliance ","3","149954","3","772.4","40.575246","-73.994266","Not Available","Seagate-Coney Island                                                       ","3070520014","Multifamily Housing","2561172","3322028","149955","None","97.6","232.3","WEST   28 STREET    ","2914","1055.2","94.5","223.6","11224"
"No","Yes",,"1048134","MANHATTAN","14802",,"8","4","298.5","In Compliance ","1","54997","68","81.8","40.782418","-73.954596","Not Available","Upper East Side-Carnegie Hill                                              ","1015180061","Multifamily Housing","2561799","1048134","54997","None","91.1","130.3","EAST   90 STREET    ","114","380.3","Not Available","Not Available","10128"
"No","Yes",,"1015222","MANHATTAN","109",,"5","3","758.7","In Compliance ","2","408511","83","1722.9","40.751749","-73.990057","Not Available","Midtown-Midtown South                                                      ","1008110001","Office","2586392","1015222","465150","None","66.3","162.1","   7 AVENUE         ","463","2481.5","Not Available","Not Available","10018"
"No","Yes",,"2008630","BRONX               ","243",,"5","14","Not Available","In Compliance ","1","50400","Not Available","73","40.85348","-73.909858","Not Available","University Heights-Morris Heights                                          ","2028700020","Multifamily Housing","2561904","2008630","72000","None",,"Not Available","GRAND AVENUE        ","2020","Not Available","Not Available","Not Available","10453"
"No","Yes",,"3346104","BROOKLYN            ","21",,"2","33","1108.3","In Compliance ","1","241434","11","480.6","40.703809","-73.990652","Not Available","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","3000277501","Multifamily Housing","2561916","3346104","274516","None","95","143.7","MAIN STREET         ","1","1588.9","95.1","144","11201"
"Yes","Yes",,"1015877","MANHATTAN","76",,"5","4","240.7","In Compliance ","1","135570","80","553","40.748715","-73.984806","20.41","Midtown-Midtown South                                                      ","1008360035","Office","2817500","1015877","99458","Manual","99.2","243","   5 AVENUE         ","358","793.8","94.2","238.4","10001"
"Yes","Yes",,"2001939","BRONX               ","173",,"4","17","536.5","In Compliance ","1","86725","Not Available","168.4","40.825031","-73.916571","Not Available","East Concourse-Concourse Village                                           ","2024210036","Multifamily Housing","2561951","2001939","92625","None","126.4","178.1","PARK AVENUE         ","3203","704.9","123.3","174.6","10451"
"Yes","Yes",,"1001235","MANHATTAN","21",,"1","1","341.9","In Compliance ","1","80298","76","323.5","40.711843","-74.009562","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1000880005","Office","2562042","1001235","96154","None","87.8","175.1","VESEY STREET        ","20","665.4","Not Available","Not Available","10007"
"No","Yes",,,"QUEENS",,,,,"7.3","In Compliance ","1","1288542","94","1095.1",,,"5.59",,"4018600100","Retail Store","2646602","4464148","375888","Manual","35.5","110.7","QUEENS BOULEVARD    ","    90-15","1102.4","Not Available","Not Available","11373"
"Yes","Yes",,"2013613","BRONX               ","39901",,"7","15","466.4","In Compliance ","1","51285","64","77.9","40.862836","-73.89546","119.5","Bedford Park-Fordham North                                                 ","2031540040","Multifamily Housing","2562061","2013613","54576","ABS","132.6","170.9","VALENTINE AVENUE    ","2527","544.3","127.6","165.3","10458"
"No","Yes",,"5037085","STATEN ISLAND       ","279",,"2","50","Not Available","In Compliance ","1","185000","Not Available","911.1","40.579571","-74.13169","Not Available","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","5022500370","Senior Care Community","2562104","Not Available","211000","None",,"Not Available","MEISNER AVENUE      ","140","Not Available","Not Available","Not Available","10306"
"No","Yes",,"2018125","BRONX               ","423",,"7","11","401","In Compliance ","1","71000","Not Available","48.3","40.875245","-73.87948","Not Available","Norwood                                                                    ","2033420001","Multifamily Housing","2562147","2018125","66515","None","89.3","108.9","BAINBRIDGE AVENUE   ","3164","449.3","85.8","105.3","10467"
"No","Yes",,"1035344","MANHATTAN","94",,"5","4","0","In Compliance ","1","251043","44","2231.6","40.753663","-73.980744","Not Available","Midtown-Midtown South                                                      ","1012770002","Office","2591912","1035408","281627","None","101.2","262.8","   5 AVENUE         ","505","2231.6","98.9","260.1","10036"
"No","Yes",,"2008585","BRONX               ","243",,"5","14","348.2","In Compliance ","1","68874","98","99","40.850886","-73.913614","Not Available","University Heights-Morris Heights                                          ","2028690009","Multifamily Housing","2562244","2008585","80840","None","73.9","106.4","HARRISON AVENUE     ","1820","447.2","71.3","103.9","10453"
"No","Yes",,"1035066","MANHATTAN","11201",,"5","4","0","In Compliance ","1","69649","70","413.2","40.763527","-73.975279","Not Available","Midtown-Midtown South                                                      ","1012730012","Office","2562613","1035066","79474","None","67.6","164.7","WEST   57 STREET    ","37","413.2","64.2","161.2","10019"
"Yes","Yes",,"2014572","BRONX               ","251",,"5","14","496.2","In Compliance ","1","50890","59","97.7","40.856378","-73.9095","3.55","University Heights-Morris Heights                                          ","2032100080","Multifamily Housing","2562923","2014572","61554","ABS","127.7","170","AQUEDUCT AVENUE EAST","2114","593.9","119.8","162.1","10453"
"No","Yes",,"2003542","BRONX               ","201",,"4","16","511.9","In Compliance ","1","77000","90","85.9","40.840709","-73.92615","Not Available","Highbridge                                                                 ","2025320043","Multifamily Housing","2562930","2003542","81837","None","97.4","125.6","MERRIAM AVENUE      ","1307","597.8","93.5","121.6","10452"
"No","Yes",,"2007688","BRONX               ","23501",,"5","14","356.7","In Compliance ","1","59800","83","74.7","40.850655","-73.905048","Not Available","Mount Hope                                                                 ","2028080051","Multifamily Housing","2562937","2007688","67350","None","108.9","141.9","GRAND CONCOURSE     ","1955","431.4","105.5","138.4","10453"
"No","Yes",,"1021900","MANHATTAN","78",,"6","2","354","In Compliance ","1","105572","77","740.7","40.744379","-73.974904","Not Available","Murray Hill-Kips Bay                                                       ","1009400012","Medical Office","2562986","1021900","117900","None","118.9","281.8","EAST   34 STREET    ","321","1094.7","Not Available","Not Available","10016"
"No","Yes",,"2002774","BRONX               ","17901",,"4","16","308.4","In Compliance ","1","53934","Not Available","87.7","40.836031","-73.916213","Not Available","East Concourse-Concourse Village                                           ","2024570040","Multifamily Housing","2563004","2002774","55284","None","94.2","136","GRAND CONCOURSE     ","1268","396.1","90.7","132.6","10456"
"Yes","Yes",,"2007979","BRONX               ","17902",,"4","16","322.6","In Compliance ","1","50800","90","64.1","40.837674","-73.914618","124.84","East Concourse-Concourse Village                                           ","2028310036","Multifamily Housing","2563011","2007979","51528","ABS","100.7","133.8","GRAND CONCOURSE     ","1350","386.6","96.7","129.8","10456"
"No","Yes",,,"QUEENS",,,,,"358","In Compliance ","1","61000","Not Available","65.7",,,"81.21",,"4003420024","Multifamily Housing","2640777","Not Available","61999","Manual","92.1","120.4","  30 STREET         ","    36-06","423.7","Not Available","Not Available","11106"
"No","Yes",,"2008874","BRONX               ","20501",,"5","14","358.9","In Compliance ","1","60480","92","97.9","40.847884","-73.921891","Not Available","University Heights-Morris Heights                                          ","2028770211","Multifamily Housing","2563021","2008874","72372","None","84","119.9","POPHAM AVENUE       ","1480","456.8","80.5","116.3","10453"
"Yes","Yes",,"2011294","BRONX               ","395",,"6","15","746.5","In Compliance ","1","84300","Not Available","128.9","40.851887","-73.89534","172.36","Claremont-Bathgate                                                         ","2030370025","Multifamily Housing","2563039","2011294","85550","ABS","141.1","182.1","WASHINGTON AVENUE   ","2115","875.4","135.2","175.7","10457"
"No","Yes",,"2018213","BRONX               ","423",,"7","11","257.2","In Compliance ","1","55000","Not Available","89.4","40.879338","-73.874931","Not Available","Norwood                                                                    ","2033430180","Multifamily Housing","2563051","2018213","51265","None","113.6","163.1","EAST GUN HILL ROAD  ","282","346.5","Not Available","Not Available","10467"
"No","Yes",,"2008784","BRONX               ","21301",,"5","14","264.1","In Compliance ","1","55000","91","67.1","40.845634","-73.922151","Not Available","University Heights-Morris Heights                                          ","2028750039","Multifamily Housing","2563063","2008784","57750","None","98.7","132.8","UNIVERSITY AVENUE   ","1522","331.2","96.4","130.6","10452"
"Yes","Yes",,"1015409","MANHATTAN","54",,"5","3","329.3","In Compliance ","1","179186","84","561.4","40.738571","-73.993761","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008190010","Office","2563179","1015409","199086","None","58.1","131.3","WEST   17 STREET    ","47","890.7","Not Available","Not Available","10011"
"No","Yes",,"5150274","STATEN ISLAND       ","279",,"2","50","193.3","In Compliance ","1","53856","77","141.1","40.579999","-74.131359","39.78","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ","5022500250","Senior Care Community","2563226","Not Available","53856","Manual","99.2","170.2","MEISNER AVENUE      ","110","334.4","97.4","168.4","10306"
"Yes","Yes",,"3046965","BROOKLYN            ","383",,"3","41","162.4","In Compliance ","1","89457","Not Available","220.5","40.68315","-73.926104","Not Available","Stuyvesant Heights                                                         ","3016730001","K-12 School","2563301","Not Available","90000","None","63.5","128.4","PATCHEN AVENUE      ","239","382.9","61.1","126.3","11233"
"No","Yes",,"1080677","MANHATTAN","58",,"5","3","393.3","In Compliance ","3","274116","87","908.3","40.742227","-73.991162","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008250012","Office","2563453","1080679; 1080678; 1080677","274116","None","59","144.7","WEST   23 STREET    ","49","1301.5","Not Available","Not Available","10010"
"Yes","Yes",,"1018069","MANHATTAN","68",,"5","2","167.3","In Compliance ","1","58744","82","155.3","40.740448","-73.984894","Not Available","Gramercy                                                                   ","1008800014","Office","2563484","1018069","63270","None","64.7","128.4","EAST   24 STREET    ","121","322.6","Not Available","Not Available","10010"
"No","Yes",,"1016876","MANHATTAN","56",,"5","2","487","In Compliance ","1","217991","88","714.5","40.743188","-73.98755","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008560009","Office","2563502","1016876","253623","None","59.5","132.4","EAST   26 STREET    ","11","1201.5","Not Available","Not Available","10010"
"No","Yes",,"1083631","MANHATTAN","76",,"5","4","349.8","In Compliance ","1","319200","78","1485","40.747908","-73.985387","Not Available","Midtown-Midtown South                                                      ","1008340049","Office","2563563","1083631","382200","None","64.1","165.2","WEST   33 STREET    ","4","1834.8","63.3","164.9","10001"
"No","Yes",,"1036076","MANHATTAN","11202",,"5","4","0","In Compliance ","1","315918","50","2753.9","40.762629","-73.972125","27.52","Midtown-Midtown South                                                      ","1012930059","Office","2605548","1036076","332608","Manual","109.1","252.5","MADISON AVENUE      ","600","2753.9","106.9","249.2","10022"
"No","Yes",,"1007945","MANHATTAN","43",,"2","1","144","In Compliance ","1","64120","Not Available","310.1","40.725045","-73.997085","Not Available","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1005110015","Office","2563587","1007945","78616","None","72.6","174.7","BROADWAY            ","598","454.1","Not Available","Not Available","10012"
"No","Yes",,"1015846","MANHATTAN","76",,"5","4","290","In Compliance ","1","206388","72","834.6","40.747568","-73.986452","Not Available","Midtown-Midtown South                                                      ","1008340022","Office","2563600","1015846","203096","None","76.4","183.8","WEST   32 STREET    ","29","1124.6","Not Available","Not Available","10001"
"Yes","Yes",,"5000026","STATEN ISLAND       ","3",,"1","49","221.6","In Compliance ","1","78300","96","53.5","40.64095","-74.076785","37.61","West New Brighton-New Brighton-St. George                                  ","5000050057","Multifamily Housing","2563626","5000026","75000","ABS","60.9","81.6","CENTRAL AVENUE      ","33","275.1","59.7","80.2","10301"
"Yes","Yes",,"1058390","MANHATTAN","218",,"10","9","93.8","In Compliance ","1","87400","88","152.8","40.804667","-73.95383","22.99","Central Harlem South                                                       ","1019237501","Multifamily Housing","2564478","1058390","99886","ABS","36.1","76.5","WEST  117 STREET    ","257","246.6","36.2","76.7","10026"
"Yes","Yes",,"1015407","MANHATTAN","54",,"5","3","230.9","In Compliance ","1","74713","Not Available","221.1","40.738725","-73.994129","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008197502","Multifamily Housing","2564620","1015407","78121","None","89.8","165.6","WEST   17 STREET    ","63","452","87.5","163.2","10011"
"No","Yes",,"1046650","MANHATTAN","142",,"8","4","40.5","In Compliance ","1","142708","9","739","40.778065","-73.962933","Not Available","Upper East Side-Carnegie Hill                                              ","1014920069","Multifamily Housing","2564633","1046650","151627","None","68.4","159.3","   5 AVENUE         ","995","779.5","66.7","157.6","10028"
"Yes","Yes",,"1059948","MANHATTAN","22302",,"9","7","88.6","In Compliance ","1","86625","Not Available","141.5","40.820365","-73.958595","Not Available","Manhattanville                                                             ","1020010120","Self-Storage Facility","2587389","1059948","86453","None","39","82.2","  12 AVENUE         ","2341","230.1","36.3","79.5","10027"
"No","Yes",,"1087620","MANHATTAN","42",,"3","2","2.5","In Compliance ","1","105525","Not Available","Not Available","40.732766","-73.987577","Not Available","East Village                                                               ","1005597501","Multifamily Housing","2564636","1087620","115160","None",,"Not Available","   3 AVENUE         ","108","Not Available","Not Available","Not Available","10003"
"No","Yes",,"1041101","MANHATTAN","122",,"8","4","8.3","In Compliance ","1","71707","Not Available","465.7","40.767925","-73.970339","Not Available","Upper East Side-Carnegie Hill                                              ","1013797504","Multifamily Housing","2564688","1041101","62857","None","99.8","230.6","   5 AVENUE         ","838","474","98.5","229.4","10065"
"No","Yes",,"1040003","MANHATTAN","108",,"6","5","396.6","In Compliance ","1","89349","84","103.3","40.75871","-73.96385","Not Available","Turtle Bay-East Midtown                                                    ","1013500020","Multifamily Housing","2564691","1040003","94933","None","74.7","104.2","EAST   57 STREET    ","345","499.9","65.6","95.1","10022"
"No","Yes",,"1046842","MANHATTAN","15001",,"8","4","4.6","In Compliance ","1","160719","53","3154.3","40.781149","-73.959923","Not Available","Upper East Side-Carnegie Hill                                              ","1014977501","Multifamily Housing","2564710","1046842","167707","None","41.2","128.3","   5 AVENUE         ","1049","3158.9","41.2","128.3","10028"
"No","Yes",,"1024736","MANHATTAN","125",,"5","3","614.4","In Compliance ","1","324126","Not Available","852.1","40.759228","-73.986572","Not Available","Midtown-Midtown South                                                      ","1010187502","Multifamily Housing","2564712","1024736","313240","None","69.7","141.8","WEST   46 STREET    ","247","1466.5","67","138.5","10036"
"No","Yes",,"1038595","MANHATTAN","108",,"6","4","Not Available","In Compliance ","1","75623","Not Available","Not Available","40.75999","-73.966928","Not Available","Turtle Bay-East Midtown                                                    ","1013307501","Multifamily Housing","2564772","1038595","78424","None",,"Not Available","EAST   57 STREET    ","212","Not Available","Not Available","Not Available","10022"
"Yes","Yes",,"1087559","MANHATTAN","47",,"2","1","Not Available","In Compliance ","1","153500","Not Available","Not Available","40.721447","-74.00127","19.43","SoHo-TriBeCa-Civic Center-Little Italy                                     ","1004747506","Multifamily Housing","2564792","1087559","169614","ABS",,"Not Available","MERCER STREET       ","40","Not Available","Not Available","Not Available","10013"
"No","Yes",,"1015952","MANHATTAN","84",,"5","4","307.3","In Compliance ","1","130625","84","538.8","40.750993","-73.984744","Not Available","Midtown-Midtown South                                                      ","1008380076","Office","2565216","1015952","161519","None","65.5","151.8","WEST   37 STREET    ","48","846.1","Not Available","Not Available","10018"
"Yes","Yes",,,"QUEENS",,,,,"611.4","In Compliance ","1","169643","74","204.9",,,"Not Available",,"4098490130","Multifamily Housing","2612580","4210682","167857","None","83.3","118.2","HIGHLAND AVENUE     ","   166-05","816.3","81.2","115.5","11432"
"No","Yes",,"1015249","MANHATTAN","109",,"5","3","180.4","In Compliance ","1","93846","94","218","40.752465","-73.988237","Not Available","Midtown-Midtown South                                                      ","1008120069","Office","2565227","1015249","102562","None","49.3","104.4","WEST   37 STREET    ","148","398.4","Not Available","Not Available","10018"
"No","Yes",,"1080614","MANHATTAN","113",,"5","4","375","In Compliance ","1","129808","84","404","40.753818","-73.985696","Not Available","Midtown-Midtown South                                                      ","1008150039","Office","2586171","1080614; 1080613","136974","None","71.9","148.4","WEST   40 STREET    ","110","779","Not Available","Not Available","10018"
"Yes","Yes",,"1017191","MANHATTAN","82",,"5","4","239.6","In Compliance ","1","116598","72","481.7","40.75043","-73.983098","Not Available","Murray Hill-Kips Bay                                                       ","1008670001","Office","2586202","1017191","125858","None","71.4","170.5","   5 AVENUE         ","411","721.3","68.9","168.4","10016"
"Yes","Yes",,"1022566","MANHATTAN","113",,"5","4","253.7","In Compliance ","1","174028","78","718.2","40.753894","-73.984812","Not Available","Midtown-Midtown South                                                      ","1009930036","Office","2586293","1022566","186371","None","64.6","164.2","AVENUE OF THE AMER  ","1071","972","64.8","164.9","10018"
"Yes","Yes",,"1015604","MANHATTAN","58",,"5","3","376.2","In Compliance ","1","313755","78","1138.3","40.742916","-73.989185","Not Available","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","1008260046","Office","2586400","1015604","308313","None","61.7","157.2","BROADWAY            ","1115","1514.5","Not Available","Not Available","10010"
"No","Yes",,"1015902","MANHATTAN","84",,"5","4","252","In Compliance ","1","59367","49","246.8","40.750027","-73.984365","Not Available","Midtown-Midtown South                                                      ","1008370056","Office","2586431","1015902","59367","None","113.5","222.3","WEST   36 STREET    ","16","498.8","110.9","219.7","10018"
